Specimen_Date_Surrogate_Key,Specimen_Date_Key,Day,Month,Year,Day_of_Week,Week_of_Year,Weekend,Holiday,Season,Date_Full_Format
428,24112020,24,11,2020,Tuesday,48,N,N,Fall,2020-11-24
429,25112020,25,11,2020,Wednesday,48,N,N,Fall,2020-11-25
430,26112020,26,11,2020,Thursday,48,N,N,Fall,2020-11-26
431,27112020,27,11,2020,Friday,48,N,N,Fall,2020-11-27
432,28112020,28,11,2020,Saturday,48,Y,N,Fall,2020-11-28
433,29112020,29,11,2020,Sunday,48,Y,N,Fall,2020-11-29
434,30112020,30,11,2020,Monday,49,N,N,Fall,2020-11-30
435,1122020,1,12,2020,Tuesday,49,N,N,Fall,2020-12-01
436,2122020,2,12,2020,Wednesday,49,N,N,Fall,2020-12-02
437,3122020,3,12,2020,Thursday,49,N,N,Fall,2020-12-03
438,4122020,4,12,2020,Friday,49,N,N,Fall,2020-12-04
439,5122020,5,12,2020,Saturday,49,Y,N,Fall,2020-12-05
440,6122020,6,12,2020,Sunday,49,Y,N,Fall,2020-12-06
441,7122020,7,12,2020,Monday,50,N,N,Fall,2020-12-07
442,8122020,8,12,2020,Tuesday,50,N,N,Fall,2020-12-08
443,9122020,9,12,2020,Wednesday,50,N,N,Fall,2020-12-09
444,10122020,10,12,2020,Thursday,50,N,N,Fall,2020-12-10
445,11122020,11,12,2020,Friday,50,N,N,Fall,2020-12-11
446,12122020,12,12,2020,Saturday,50,Y,N,Fall,2020-12-12
447,13122020,13,12,2020,Sunday,50,Y,N,Fall,2020-12-13
448,14122020,14,12,2020,Monday,51,N,N,Fall,2020-12-14
449,15122020,15,12,2020,Tuesday,51,N,N,Fall,2020-12-15
450,16122020,16,12,2020,Wednesday,51,N,N,Fall,2020-12-16
451,17122020,17,12,2020,Thursday,51,N,N,Fall,2020-12-17
452,18122020,18,12,2020,Friday,51,N,N,Fall,2020-12-18
453,19122020,19,12,2020,Saturday,51,Y,N,Fall,2020-12-19
454,20122020,20,12,2020,Sunday,51,Y,N,Fall,2020-12-20
455,21122020,21,12,2020,Monday,52,N,N,Winter,2020-12-21
456,22122020,22,12,2020,Tuesday,52,N,N,Winter,2020-12-22
457,23122020,23,12,2020,Wednesday,52,N,N,Winter,2020-12-23
458,24122020,24,12,2020,Thursday,52,N,N,Winter,2020-12-24
459,25122020,25,12,2020,Friday,52,N,Y,Winter,2020-12-25
460,26122020,26,12,2020,Saturday,52,Y,N,Winter,2020-12-26
461,27122020,27,12,2020,Sunday,52,Y,N,Winter,2020-12-27
462,28122020,28,12,2020,Monday,53,N,Y,Winter,2020-12-28
463,29122020,29,12,2020,Tuesday,53,N,N,Winter,2020-12-29
464,30122020,30,12,2020,Wednesday,53,N,N,Winter,2020-12-30
465,31122020,31,12,2020,Thursday,53,N,Y,Winter,2020-12-31
466,1012021,1,1,2021,Friday,53,N,Y,Winter,2021-01-01
467,2012021,2,1,2021,Saturday,53,Y,N,Winter,2021-01-02
468,3012021,3,1,2021,Sunday,53,Y,N,Winter,2021-01-03
469,4012021,4,1,2021,Monday,1,N,N,Winter,2021-01-04
470,5012021,5,1,2021,Tuesday,1,N,N,Winter,2021-01-05
471,6012021,6,1,2021,Wednesday,1,N,N,Winter,2021-01-06
472,7012021,7,1,2021,Thursday,1,N,N,Winter,2021-01-07
473,8012021,8,1,2021,Friday,1,N,N,Winter,2021-01-08
474,9012021,9,1,2021,Saturday,1,Y,N,Winter,2021-01-09
475,10012021,10,1,2021,Sunday,1,Y,N,Winter,2021-01-10
476,11012021,11,1,2021,Monday,2,N,N,Winter,2021-01-11
477,12012021,12,1,2021,Tuesday,2,N,N,Winter,2021-01-12
478,13012021,13,1,2021,Wednesday,2,N,N,Winter,2021-01-13
479,14012021,14,1,2021,Thursday,2,N,N,Winter,2021-01-14
480,15012021,15,1,2021,Friday,2,N,N,Winter,2021-01-15
481,16012021,16,1,2021,Saturday,2,Y,N,Winter,2021-01-16
482,17012021,17,1,2021,Sunday,2,Y,N,Winter,2021-01-17
483,18012021,18,1,2021,Monday,3,N,N,Winter,2021-01-18
484,19012021,19,1,2021,Tuesday,3,N,N,Winter,2021-01-19
485,20012021,20,1,2021,Wednesday,3,N,N,Winter,2021-01-20
486,21012021,21,1,2021,Thursday,3,N,N,Winter,2021-01-21
487,22012021,22,1,2021,Friday,3,N,N,Winter,2021-01-22
488,23012021,23,1,2021,Saturday,3,Y,N,Winter,2021-01-23
489,24012021,24,1,2021,Sunday,3,Y,N,Winter,2021-01-24
490,25012021,25,1,2021,Monday,4,N,N,Winter,2021-01-25
491,26012021,26,1,2021,Tuesday,4,N,N,Winter,2021-01-26
492,27012021,27,1,2021,Wednesday,4,N,N,Winter,2021-01-27
493,28012021,28,1,2021,Thursday,4,N,N,Winter,2021-01-28
494,29012021,29,1,2021,Friday,4,N,N,Winter,2021-01-29
495,30012021,30,1,2021,Saturday,4,Y,N,Winter,2021-01-30
496,31012021,31,1,2021,Sunday,4,Y,N,Winter,2021-01-31
497,1022021,1,2,2021,Monday,5,N,N,Winter,2021-02-01
498,2022021,2,2,2021,Tuesday,5,N,N,Winter,2021-02-02
499,3022021,3,2,2021,Wednesday,5,N,N,Winter,2021-02-03
500,4022021,4,2,2021,Thursday,5,N,N,Winter,2021-02-04
501,5022021,5,2,2021,Friday,5,N,N,Winter,2021-02-05
502,6022021,6,2,2021,Saturday,5,Y,N,Winter,2021-02-06
503,7022021,7,2,2021,Sunday,5,Y,N,Winter,2021-02-07
504,8022021,8,2,2021,Monday,6,N,N,Winter,2021-02-08
505,9022021,9,2,2021,Tuesday,6,N,N,Winter,2021-02-09
506,10022021,10,2,2021,Wednesday,6,N,N,Winter,2021-02-10
507,11022021,11,2,2021,Thursday,6,N,N,Winter,2021-02-11
508,12022021,12,2,2021,Friday,6,N,N,Winter,2021-02-12
509,13022021,13,2,2021,Saturday,6,Y,N,Winter,2021-02-13
510,14022021,14,2,2021,Sunday,6,Y,Y,Winter,2021-02-14
511,15022021,15,2,2021,Monday,7,N,Y,Winter,2021-02-15
512,16022021,16,2,2021,Tuesday,7,N,N,Winter,2021-02-16
513,17022021,17,2,2021,Wednesday,7,N,N,Winter,2021-02-17
514,18022021,18,2,2021,Thursday,7,N,N,Winter,2021-02-18
515,19022021,19,2,2021,Friday,7,N,N,Winter,2021-02-19
516,20022021,20,2,2021,Saturday,7,Y,N,Winter,2021-02-20
517,21022021,21,2,2021,Sunday,7,Y,N,Winter,2021-02-21
518,22022021,22,2,2021,Monday,8,N,N,Winter,2021-02-22
519,23022021,23,2,2021,Tuesday,8,N,N,Winter,2021-02-23
520,24022021,24,2,2021,Wednesday,8,N,N,Winter,2021-02-24
521,25022021,25,2,2021,Thursday,8,N,N,Winter,2021-02-25
522,26022021,26,2,2021,Friday,8,N,N,Winter,2021-02-26
523,27022021,27,2,2021,Saturday,8,Y,N,Winter,2021-02-27
