Specimen_Date_Surrogate_Key,Specimen_Date_Key,Day,Month,Year,Day_of_Week,Week_of_Year,Weekend,Holiday,Season,Date_Full_Format
751,17122020,17,12,2020,Thursday,51,N,N,Fall,2020-12-17
752,18122020,18,12,2020,Friday,51,N,N,Fall,2020-12-18
753,19122020,19,12,2020,Saturday,51,Y,N,Fall,2020-12-19
754,20122020,20,12,2020,Sunday,51,Y,N,Fall,2020-12-20
755,21122020,21,12,2020,Monday,52,N,N,Winter,2020-12-21
756,22122020,22,12,2020,Tuesday,52,N,N,Winter,2020-12-22
757,23122020,23,12,2020,Wednesday,52,N,N,Winter,2020-12-23
758,24122020,24,12,2020,Thursday,52,N,N,Winter,2020-12-24
759,25122020,25,12,2020,Friday,52,N,Y,Winter,2020-12-25
760,26122020,26,12,2020,Saturday,52,Y,N,Winter,2020-12-26
761,27122020,27,12,2020,Sunday,52,Y,N,Winter,2020-12-27
762,28122020,28,12,2020,Monday,53,N,Y,Winter,2020-12-28
763,29122020,29,12,2020,Tuesday,53,N,N,Winter,2020-12-29
764,30122020,30,12,2020,Wednesday,53,N,N,Winter,2020-12-30
765,31122020,31,12,2020,Thursday,53,N,Y,Winter,2020-12-31
766,1012021,1,1,2021,Friday,53,N,Y,Winter,2021-01-01
767,2012021,2,1,2021,Saturday,53,Y,N,Winter,2021-01-02
768,3012021,3,1,2021,Sunday,53,Y,N,Winter,2021-01-03
769,4012021,4,1,2021,Monday,1,N,N,Winter,2021-01-04
770,5012021,5,1,2021,Tuesday,1,N,N,Winter,2021-01-05
771,6012021,6,1,2021,Wednesday,1,N,N,Winter,2021-01-06
772,7012021,7,1,2021,Thursday,1,N,N,Winter,2021-01-07
773,8012021,8,1,2021,Friday,1,N,N,Winter,2021-01-08
774,9012021,9,1,2021,Saturday,1,Y,N,Winter,2021-01-09
775,10012021,10,1,2021,Sunday,1,Y,N,Winter,2021-01-10
776,11012021,11,1,2021,Monday,2,N,N,Winter,2021-01-11
777,12012021,12,1,2021,Tuesday,2,N,N,Winter,2021-01-12
778,13012021,13,1,2021,Wednesday,2,N,N,Winter,2021-01-13
779,14012021,14,1,2021,Thursday,2,N,N,Winter,2021-01-14
780,15012021,15,1,2021,Friday,2,N,N,Winter,2021-01-15
781,16012021,16,1,2021,Saturday,2,Y,N,Winter,2021-01-16
782,17012021,17,1,2021,Sunday,2,Y,N,Winter,2021-01-17
783,18012021,18,1,2021,Monday,3,N,N,Winter,2021-01-18
784,19012021,19,1,2021,Tuesday,3,N,N,Winter,2021-01-19
785,20012021,20,1,2021,Wednesday,3,N,N,Winter,2021-01-20
786,21012021,21,1,2021,Thursday,3,N,N,Winter,2021-01-21
787,22012021,22,1,2021,Friday,3,N,N,Winter,2021-01-22
788,23012021,23,1,2021,Saturday,3,Y,N,Winter,2021-01-23
789,24012021,24,1,2021,Sunday,3,Y,N,Winter,2021-01-24
790,25012021,25,1,2021,Monday,4,N,N,Winter,2021-01-25
791,26012021,26,1,2021,Tuesday,4,N,N,Winter,2021-01-26
792,27012021,27,1,2021,Wednesday,4,N,N,Winter,2021-01-27
793,28012021,28,1,2021,Thursday,4,N,N,Winter,2021-01-28
794,29012021,29,1,2021,Friday,4,N,N,Winter,2021-01-29
795,30012021,30,1,2021,Saturday,4,Y,N,Winter,2021-01-30
796,31012021,31,1,2021,Sunday,4,Y,N,Winter,2021-01-31
797,1022021,1,2,2021,Monday,5,N,N,Winter,2021-02-01
798,2022021,2,2,2021,Tuesday,5,N,N,Winter,2021-02-02
799,3022021,3,2,2021,Wednesday,5,N,N,Winter,2021-02-03
800,4022021,4,2,2021,Thursday,5,N,N,Winter,2021-02-04
801,5022021,5,2,2021,Friday,5,N,N,Winter,2021-02-05
802,6022021,6,2,2021,Saturday,5,Y,N,Winter,2021-02-06
803,7022021,7,2,2021,Sunday,5,Y,N,Winter,2021-02-07
804,8022021,8,2,2021,Monday,6,N,N,Winter,2021-02-08
805,9022021,9,2,2021,Tuesday,6,N,N,Winter,2021-02-09
806,10022021,10,2,2021,Wednesday,6,N,N,Winter,2021-02-10
807,11022021,11,2,2021,Thursday,6,N,N,Winter,2021-02-11
808,12022021,12,2,2021,Friday,6,N,N,Winter,2021-02-12
809,13022021,13,2,2021,Saturday,6,Y,N,Winter,2021-02-13
810,14022021,14,2,2021,Sunday,6,Y,Y,Winter,2021-02-14
811,15022021,15,2,2021,Monday,7,N,Y,Winter,2021-02-15
812,16022021,16,2,2021,Tuesday,7,N,N,Winter,2021-02-16
813,17022021,17,2,2021,Wednesday,7,N,N,Winter,2021-02-17
814,18022021,18,2,2021,Thursday,7,N,N,Winter,2021-02-18
815,19022021,19,2,2021,Friday,7,N,N,Winter,2021-02-19
816,20022021,20,2,2021,Saturday,7,Y,N,Winter,2021-02-20
817,21022021,21,2,2021,Sunday,7,Y,N,Winter,2021-02-21
818,22022021,22,2,2021,Monday,8,N,N,Winter,2021-02-22
819,23022021,23,2,2021,Tuesday,8,N,N,Winter,2021-02-23
820,24022021,24,2,2021,Wednesday,8,N,N,Winter,2021-02-24
821,25022021,25,2,2021,Thursday,8,N,N,Winter,2021-02-25
822,26022021,26,2,2021,Friday,8,N,N,Winter,2021-02-26
823,27022021,27,2,2021,Saturday,8,Y,N,Winter,2021-02-27
