Date_Key,Day,Month,Year,Day_of_Week,Week_in_Year,Weekend_YN,Holiday_YN,Season,Date_Full_Format
7012021,7,1,2021,Thursday,1,N,N,Winter,2021-01-07
8012021,8,1,2021,Friday,1,N,N,Winter,2021-01-08
9012021,9,1,2021,Saturday,1,Y,N,Winter,2021-01-09
10012021,10,1,2021,Sunday,1,Y,N,Winter,2021-01-10
11012021,11,1,2021,Monday,2,N,N,Winter,2021-01-11
12012021,12,1,2021,Tuesday,2,N,N,Winter,2021-01-12
13012021,13,1,2021,Wednesday,2,N,N,Winter,2021-01-13
14012021,14,1,2021,Thursday,2,N,N,Winter,2021-01-14
15012021,15,1,2021,Friday,2,N,N,Winter,2021-01-15
16012021,16,1,2021,Saturday,2,Y,N,Winter,2021-01-16
17012021,17,1,2021,Sunday,2,Y,N,Winter,2021-01-17
18012021,18,1,2021,Monday,3,N,N,Winter,2021-01-18
19012021,19,1,2021,Tuesday,3,N,N,Winter,2021-01-19
20012021,20,1,2021,Wednesday,3,N,N,Winter,2021-01-20
21012021,21,1,2021,Thursday,3,N,N,Winter,2021-01-21
22012021,22,1,2021,Friday,3,N,N,Winter,2021-01-22
23012021,23,1,2021,Saturday,3,Y,N,Winter,2021-01-23
24012021,24,1,2021,Sunday,3,Y,N,Winter,2021-01-24
25012021,25,1,2021,Monday,4,N,N,Winter,2021-01-25
26012021,26,1,2021,Tuesday,4,N,N,Winter,2021-01-26
27012021,27,1,2021,Wednesday,4,N,N,Winter,2021-01-27
28012021,28,1,2021,Thursday,4,N,N,Winter,2021-01-28
29012021,29,1,2021,Friday,4,N,N,Winter,2021-01-29
30012021,30,1,2021,Saturday,4,Y,N,Winter,2021-01-30
31012021,31,1,2021,Sunday,4,Y,N,Winter,2021-01-31
1022021,1,2,2021,Monday,5,N,N,Winter,2021-02-01
2022021,2,2,2021,Tuesday,5,N,N,Winter,2021-02-02
3022021,3,2,2021,Wednesday,5,N,N,Winter,2021-02-03
4022021,4,2,2021,Thursday,5,N,N,Winter,2021-02-04
5022021,5,2,2021,Friday,5,N,N,Winter,2021-02-05
6022021,6,2,2021,Saturday,5,Y,N,Winter,2021-02-06
7022021,7,2,2021,Sunday,5,Y,N,Winter,2021-02-07
8022021,8,2,2021,Monday,6,N,N,Winter,2021-02-08
9022021,9,2,2021,Tuesday,6,N,N,Winter,2021-02-09
10022021,10,2,2021,Wednesday,6,N,N,Winter,2021-02-10
11022021,11,2,2021,Thursday,6,N,N,Winter,2021-02-11
12022021,12,2,2021,Friday,6,N,N,Winter,2021-02-12
13022021,13,2,2021,Saturday,6,Y,N,Winter,2021-02-13
14022021,14,2,2021,Sunday,6,Y,Y,Winter,2021-02-14
15022021,15,2,2021,Monday,7,N,Y,Winter,2021-02-15
16022021,16,2,2021,Tuesday,7,N,N,Winter,2021-02-16
17022021,17,2,2021,Wednesday,7,N,N,Winter,2021-02-17
18022021,18,2,2021,Thursday,7,N,N,Winter,2021-02-18
19022021,19,2,2021,Friday,7,N,N,Winter,2021-02-19
20022021,20,2,2021,Saturday,7,Y,N,Winter,2021-02-20
21022021,21,2,2021,Sunday,7,Y,N,Winter,2021-02-21
22022021,22,2,2021,Monday,8,N,N,Winter,2021-02-22
23022021,23,2,2021,Tuesday,8,N,N,Winter,2021-02-23
24022021,24,2,2021,Wednesday,8,N,N,Winter,2021-02-24
25022021,25,2,2021,Thursday,8,N,N,Winter,2021-02-25
26022021,26,2,2021,Friday,8,N,N,Winter,2021-02-26
27022021,27,2,2021,Saturday,8,Y,N,Winter,2021-02-27
